Unique ID	Post	Labels Set		
74	"RT @aadhiIa: उद्धव ठाकरे की BMC सेना का POK में घुसकर धमाका

आतँकवादी संगठनों के कई बंकर तबाह किए 

संघी आतंकवादियों समेत पूरे लश्कर-ए-नोए…"	hate		
75	इस वक्त की बड़ी ख़बरें https://t.co/DCIpXa2DdA	non-hostile		
77	"कांग्रेसी चमचे - राहुल गांधी हर मुद्दे पर मोदी जी से हार क्यों जाते हैं 🤔🙃

शाम पित्रोदा - हुआ तो हुआ 😂😂"	hate		
78	"कोरोना के बढ़ते मामले और दूसरी ओर त्यौहार, सुरक्षा को लेकर क्या है आपकी सोच? https://t.co/QXENYhLTau"	non-hostile		
81	पब्जी गेम पर जितना जल्द हो सरकार करवाई करें यह बच्चे को जिंदगी से खिलवाड़ हो रही है पब्जी को बैन. करो आने वाली पीढ़ी को जिंदा रहने दो	hate		
82	"#IndianRailways ने 960 से अधिक स्टेशनों का सौरकरण किया

550 स्टेशनों, जो निष्पादन के अधीन हैं, के लिए 198 मेगावाट सोलर रूफटाप क्षमता के लिए आर्डर दिए गए: https://t.co/H7UyoXSGMK

@RailMinIndia @PiyushGoyalOffc @PiyushGoyal"	non-hostile		
83	@LambaAlka कश्मीर में तो नहीं है अभी वीडियो की तस्वीर से तो ऐसे ही लग रही है  थोड़ा कष्ट करके   लदाख पहुंच जाइए  जानकारी पूरी मिल जाएगी आंखों देखी हाल पता चल जाएगी गद्दारों की असली तस्वीर देखने को मिल जाएगी	hate		
84	"हर जान है कीमती।
#AAP के ऑक्सीमित्र कर रहे हैं सभी की ऑक्सीजन जांच।
#4September #MadhyaPradesh 
@ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https://t.co/PWWm3vvpOZ"	non-hostile		
86	"आईटी मंत्री रविशंकर प्रसाद ने मार्क जकरबर्ग को पत्र लिखा, कहा - फेसबुक के कर्मचारी PM मोदी के प्रति अपशब्द कहते हैं  https://t.co/lORjp2gOy3"	non-hostile		
87	"कोराना दौर में प्लेसमेंट ऑफ़र वापस ले रही हैं कंपनियाँ, छात्र परेशान https://t.co/qRgKcLnkpl"	non-hostile		
89	"कँगना की दीवार गिराना लोकतंत्र पर हमला हैं...

अरे कु'७त्तो
गुजरात में गरीबो के घर के आगे
दीवार बना कर कौन सा लोकतंत्र सुरक्षित हुआ था ।।"	hate		
90	"कफ़ील खान के मामले में हाई कोर्ट का फ़ैसला योगी सरकार के अन्यायी चेहरे को बेनक़ाब करता है ध्यान से पढ़ो योगी जी, हाई कोर्ट ने कहा “कफ़ील खान का भाषण राष्ट्रीय एकता और अखंडता की अपील करता है” और योगी जी ने कफ़ील को राष्ट्रद्रोही घोषित कर दिया “शर्मनाक” #drkafeelkhan https://t.co/nB9Jhlvm93"	non-hostile		
91	"बिहार के पहले एक्सप्रेस वे के निर्माण का रास्ता हुआ साफ, औरंगाबाद से जयनगर तक बनेगी फोरलेन सड़क

#Bihar #Expressway #Aurangabad 

https://t.co/Gg9hxfpCnf"	non-hostile		
92	"देश में #Corona संक्रमण के ग्राफ में सबसे ऊपर महाराष्ट्र, IMA ने कहा- लोगों में डर और हॉस्पिटल, दवा, टेस्टिंग व ऑक्सीजन की कमी से समस्या
https://t.co/AUNbJmwB2q"	non-hostile		
93	"यह एक संक्रामक बीमारी है, जो किसी को भी हो सकती है, इसलिए सावधान, सतर्क रहकर हमें अपना बचाव करना है। संक्रमण से बचाव के तरीकों को हम और मजबूती से अपनाएं: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी

@ShishirGoUP"	non-hostile		
95	"इस तस्वीर ने छू लिया आनंद महिंद्रा का दिल, उन्होंने नितिन गडकरी से की खास गुजारिश
https://t.co/5hYMCFz5Pe via @NavbharatTimes 
#AnandMahindra #NitinGadkari https://t.co/nPeHIBtppR"	non-hostile		
99	@RajeshpandeyAm @amethipolice -कृपया सूचनार्थ एवं आवश्यक कार्यवाही हेतु।	non-hostile		
100	"धर्म परिवर्तन करके शादी या निकाह से जुड़े मामले की जांच एसआईटी करेगी।
#UttarPradesh #Kanpur 

https://t.co/26r4SLvjrH"	non-hostile		
101	"उप राष्ट्रपति @MVenkaiahNaidu ने #PranabMukherjee के निधन पर गहरा दुख व्यक्त करते हुए कहा, उन्होंने उस हर पद की गरिमा और शिष्टता के साथ शोभा बढ़ाई जिस पर वह रहे।

उनकी मृत्यु के साथ भारत ने एक बेहतरीन नेता खो दिया है 

https://t.co/K5ivtqfe7M https://t.co/K6MXLfak6I"	non-hostile		
103	"सिवनी में फसल खराब होने पर केजरीवाल सरकार की तर्ज पर AAP ने की 50 हजार रुपये प्रति हेक्टेयर मुआवजा देने की मांग।
@ArvindKejriwal @AapKaGopalRai @PankajSinghAAP https://t.co/FKkRpuruLm"	non-hostile		
106	"सुशांत को न्याय 'प्रायोजित' इंटरव्यू से नहीं  
#IAmSushant पर ट्वीट कर दें अपनी राय  
https://t.co/IXQwI6IUdn
@aditi_tyagi @SachinArorra
@Shehzad_Ind @shwetasinghkirt @ishkarnBHANDARI @Swamy39 @kanganaranut @anky1912
 @shekharsuman7

 LIVE- https://t.co/IXQwI6IUdn https://t.co/E8S4H0paKa"	non-hostile		
110	"मेहुल चौकसी और राणा कपूर ने #RajivGandhiFoundation को पैसे दिए; जिन्नेश शाह ने भी फाउंडेशन को 50 लाख रुपये दिए: भाजपा

FULL PRESS CONFERENCE: https://t.co/6HNzre8Q3z https://t.co/T5zZ0Q1sSf"	non-hostile		
111	"महाभारत युग में पांडवों ने बिहार के इस जगह बनाया था सुरंग, आज वहां स्थानीय लोग करते हैं खेती

#Mahabharat #Bihar  

https://t.co/DVTH8tvQ3u"	non-hostile		
112	"#PolticsDinbhar
- शौर्य का अभिनंदन
- पीएम मोदी आज तमिलनाडु दौरे पर 
- प्रदेश बीजेपी में बागियों की वापसी ! https://t.co/MVupTqjtnl"	non-hostile		
114	"24 घंटे में दूसरी बार, संक्रमण 90 हज़ार के पार  
#ZeeJankariOnCorona  @reporter_pooja https://t.co/knDsEbafdj"	non-hostile		
116	"NEET-JEE परीक्षाओं के दौरान स्टूडेंट्स की सुविधा के लिए मुंबई में 46 अतिरिक्त लोकल ट्रेनें चलेंगीं 
https://t.co/vpyDxkPQPk"	non-hostile		
117	"पीएम मोदी ने ये तस्वीर शेयर करते हुए प्रणब मुखर्जी को दी श्रद्धांजलि...

खबर:- https://t.co/NoJ7uQ7NDQ https://t.co/FmKxoiEVKC"	non-hostile		
118	"देश के विभिन्न राज्यों में #AAP का ऑक्सीमित्र अभियान जारी...

#AAPKeOxiMitra https://t.co/3mC0UrSJoJ"	non-hostile		
119	"दिल्ली के लोधी रोड़ श्मशान में राजकीय सम्मान के साथ पंचतत्व में विलीन हुए पूर्व राष्ट्रपति प्रणब मुखर्जी
 https://t.co/4dA67gihQw"	non-hostile		
121	"#ISIS से जुड़े छह आरोपियों ने #Delhi की एक अदालत के सामने अपना गुनाह कबूल कर लिया।

https://t.co/Mbxifb45EU"	non-hostile		
122	"#RealmeX7 और #realmex7pro हुए लॉन्च, फोटोग्राफी के लिए रियर में मिलेगा 4 कैमरों का सेटअप
#Realme7Series
https://t.co/pKzSxcXXe2"	non-hostile		
123	"बॉलीवुड एक्ट्रेस कंगना रनौत को केंद्रीय गृह मंत्रालय ने दी 'Y' कैटेगरी की सुरक्षा 
@KanganaTeam #KanganaRanaut 
https://t.co/B6pkX9J2e8"	non-hostile		
124	जिला मत्स्य विभाग द्वारा 2 सितंबर (बुधवार) को सुबह साढ़े 10 बजे भट्टू खंड के गांव ठुईयां में खारे पानी में सफेद झींगा मछली पालन पर एक दिवसीय सेमिनार का आयोजन किया जाएगा। कार्यक्रम के मुख्यातिथि उपायुक्त डॉ. नरहरि सिंह बांगड़ होंगे। @cmohry @DiprHaryana @DFatehabad @DDNewsHisar	non-hostile		
126	"बिहार: समान काम, समान वेतन की मांग को लेकर प्रदर्शन कर रहे गेस्ट प्रोफेसरों पर पुलिस ने किया लाठीचार्ज

@kumarprakash4u  की रिपोर्ट

https://t.co/lSuKAkMxYp"	non-hostile		
128	बिहार में विधानसभा चुनाव के दिन नजदीक आने के साथ ही रांची के रिम्स और केली बंगले में भी हलचल बढ़ने लगी है. #Bihar #LaluYadav #biharelection2020  | @satyajeetAT  https://t.co/j2IS14DDWt	non-hostile		
129	"अनलॉक-4 में किस तरह की सावधानी बरतनी है?
 
#IndiaFightsCorona #COVID19 
@PIB_India @PrakashJavdekar @shashidigital https://t.co/YUaelPQlg9"	non-hostile		
131	"JEE परीक्षा आज से शुरू: छात्र मास्क और ग्लव्स पहनकर सेंटर पहुंचे, सोशल डिस्टेंसिंग के लिए गोल घेरे बनाए गए; किसी ने बाइक से 100 किमी का सफर तय किया https://t.co/uPiNugwu78 #JEEMain #SocialDistancing @EduMinOfIndia @DrRPNishank"	non-hostile		
132	"फूफा, कजन की हत्याः @ImRaina ने पंजाब के @capt_amarinder से पूछा- कौन हैं हत्यारे?
https://t.co/5bndT1YOCU 

#SureshRaina #Sureshraina3 #suresh raina https://t.co/XRBiB1VpEB"	non-hostile		
134	"झूठ के खिलाफ @newsvishvas का एक और बड़ा कदम । Fake News के खिलाफ लड़ने के लिए हमारे व्हाट्सएप चैटबाट से जुड़े और हम बताएंगे आपको पूरा सच- https://t.co/1obLoyZiH1

#FactCheck #News https://t.co/YHSjjckKVG"	non-hostile		
135	"#सीतापुर आप सांसद @SanjayAzadSln को पुलिस ने #Sitapur में रोका, सीतापुर में भारी पुलिस बल मौजूद, खीरी से लखनऊ लौट रहे थे संजय सिंह,  पूर्व विधायक की हत्या में शोक व्यक्त करने गए थे, ASP सीतापुर एमपी सिंह ने रोका. @sitapurpolice
@Uppolice #UPPolice
#uppinnews #policemedianews"	non-hostile		
136	"#BreakingNews : नई राष्ट्रीय शिक्षा नीति पर देश को संबोधित कर रहे हैं पीएम मोदी

देखें LIVE- https://t.co/smwhXUzF4C https://t.co/5KG02TLVmA"	non-hostile		
138	"अनुच्छेद 370 की लड़ाई में पाक के समर्थन पर बोले फ़ारूक़ अब्दुल्ला: किसी के हाथों की कठपुतली नहीं

#JammuKashmir #Article370 #Pakistan #FarooqAbdullah #जम्मूकश्मीर #अनुच्छेद370 #पाकिस्तान #फारूकअब्दुल्ला

https://t.co/0Z2h3HEPxD"	non-hostile		
140	संसद का मानसून सत्र 14 सितम्	non-hostile		
141	"FTSE 100: एप्पल सबसे आगे, पूरे स्टॉक एक्सचेंज का कुल मार्केट कैप भी इससे कम!
https://t.co/unm6nMfCSm via @NavbharatTimes 
#FTSE100 #Apple #MarketCap https://t.co/zdLZnN6aV1"	non-hostile		
143	"यही तो खूबसूरती है अपने देश की...

उधर बनारस के पंडित जी मस्जिद निर्माण के लिए सोने की ईंट दे रहे है और यहां अब्दुल बम से मंदिर उड़ाने की साजिश रच रहा था 😏"	hate		
145	"ऐतिहासिक रामलीला पर कोरोना का साया, टूट जाएगी दो सौ साल पुरानी परंपरा!

#Varanasi #Ramlila 

https://t.co/YGrEEmpR7l"	non-hostile		
147	"#Apple कल कर सकता है एक बड़ी घोषणा, क्या #ipadAir4 होगा लॉन्च? 

https://t.co/2HH3vM39Ya"	non-hostile		
148	"यह निर्णय भारतीय रक्षा उद्योग को खुद के डिजाइन और विकास क्षमताओं का उपयोग करके या फिर डीआरडीओ द्वारा विकसित तकनीकों को अपनाकर सशस्त्र बलों की आवश्यकताओं को पूरा करने के लिए हथियारों के निर्माण का एक बड़ा अवसर प्रदान करेगा।
#आत्मनिर्भरभारतअभियान
@narendramodi 
@rajnathsingh"	non-hostile		
150	"#संसद में सवाल नहीं पूछें जा सकते तो फिर सड़के किस लिये हैं?

#सरकार के हर #नेता और अफसर को
 चौराहे पर घेर कर सवाल पूंछो!!"	hate		
151	"पुलिस के सामने ही मॉब लिंचिंग की वारदात,
पुलिस बदमाश को अस्पताल भी नहीं ले गई,
गुस्साए ग्रामीणों के सामने बेबस दिखी पुलिस,
तरया सुजान के रामपुर बंगरा में डबल मर्डर।  @kushinagarpol @Uppolice #policemedianews"	non-hostile		
152	मध्यप्रदेश मुख्यमंत्री @ChouhanShivraj जी के 2 रूप... https://t.co/YXxKQfR7QP	non-hostile		
153	@narendramodi देश की सरकारी कंपनी बीएसएनएल को नुकसान पहुंचा कर जिओ एयरटेल को 5 लाख करोड़ की फैदा पहुंचाई गई यदि 6 साल पहले बीएसएनल को 4G की होती तो यह पांच लाख करोड़ भारत की  तिजोरी में होती भारत के तिजोरी से जनता की सुविधा के लिए खर्च होती जो भ्रष्टाचार की भेंट चढ़ गई देश के गद्दार को पहचाने	hate		
155	"दक्षिणी मुंबई के क्रोफोर्ड मार्केट में एक तेज रफ़्तार कार जनता कैफ़े के भीतर घुस गई. देर रात एक ओवर स्पीड कार अनियंत्रित हुई और सड़क किनारे बने जनता कैफ़े से टकरा गई. इस हादसे में अब तक चार लोगों के मारे जाने की ख़बर है. 
https://t.co/INyEHl7GJQ"	non-hostile		
156	"सारंग ने केन्द्रीय सूचना एवं प्रसारण मंत्री प्रकाश जावड़ेकर को पत्र लिख कर फिल्मी सितारों से जुड़ी ‘ड्रग पार्टियों’ की खबरों पर चिंता जाहिर की है.
#HindiNews
https://t.co/HONClq5PDg"	non-hostile		
159	"पूर्व राष्ट्रपति प्रणब मुखर्जी  के जीवन की अनकही बातें 
#PranabMukherjee 
https://t.co/VasV8WlWww"	non-hostile		
160	"@ArvindKejriwal देश का किसान क्या चाहता है ये किसान खुद ही जानते है
तुझ जैसे नीच कमिना जो सता के लालच में दिल्ली दंगा और थप्पड़ भी खा सकता है वो किसान की बात ना करे तो ही अच्छा है 
AAP तो सरकार के हर बिल का विरोध ही किया है
370, 
3 तलाक
CAA
Yanha to के राम मंदिर का फैसला कोर्ट ने किया इसका भी"	hate		
161	"देश में कोरोना संक्रमण का आंकड़ा 42 लाख के पार पहुंचा, नए मामलों के आंकड़े जानकर हैरान हो जाएंगे आप  
@bramhprakash7 #ZeeJankariOnCorona 
https://t.co/eh5R7yVAoM"	non-hostile		
163	"जिस सोशल प्लेटफार्म के जरिये बीजेपी सत्ता में आयी और झूठ की बातों को प्रचार किया उसी प्लेटफार्म पर आजकल साहब को dislike मिल रहे है वो भी बल्क में।

समय फिरता है मालिक।"	hate		
164	"...जबकि हमीरपुर में 1.3 प्रतिशत, सम्भल में 1.2 प्रतिशत, हाथरस में 01 प्रतिशत, बागपत में 0.7 प्रतिशत, तथा महोबा में 0.8 प्रतिशत सबसे कम पॉजिटिविटी पाई गई है: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी"	non-hostile		
165	"आने वाली नस्लें तुम पर फख्र करेंगी हम-असरो 
जब भी उन को ध्यान आएगा तुम ने 'फिराक' को देखा है।

गोरखपुर में जन्मे, अंग्रेजी, उर्दू, फ़ारसी के प्रकांड विद्वान, रघुपति सहाय 'फिराक गोरखपुरी' उर्दू के महान शायर थे।

उनके जन्मदिन के अवसर पर उन्हें विनम्र श्रद्धांजलि अर्पित करता हूँ।"	non-hostile		
168	"#RCB के लिए बटलर को मांगने पर #RajasthanRoyals ने एक फैन को दिया मजेदार जवाब
https://t.co/fYRZutkyC0"	non-hostile		
170	"हिंदुस्तान के अंदर हिंदुओं का ही धर्मपरिवर्तन हिंदू बेटियों के साथ लवजिहाद हिंदू परिवारों का पलायन हिंदू देवी देवताओं को गालियां हिंदुओं की संस्कृति के साथ खिलवाड़

आखिर ऐसा कब तक चलेगा ? 🤔🙃"	hate		
173	"मुंबई में लगे #पाकिस्तान #जिंदाबाद के नारे..!!
ठाकरे सरकार मे #सपा पार्टी के कोटे के मंत्री #अब्बू_आज़मी के सामने लगते रहे पाकिस्तान जिंदाबाद के नारे !
माननीय महोदय @AmitShah जी अनुरोध है इन पाकिस्तान प्रेमियों, गद्दार देशद्रोहियों को बुरी तरह देश के बाहर खदेड़ा जाए..
@HMOIndia"	hate		
174	"लोकायुक्त की कार्रवाई: खनिज अधिकारी प्रदीप खन्ना के 3 ठिकानों पर छापेमारी; इंदौर में फ्लैट-मकान मिला, भोपाल में 9 लाख रुपए कैश और बंगला और दो कार मिलीं https://t.co/DWzlwmpbTp #PradeepKhanna #Indore @OfficeofSSC"	non-hostile		
