label	text
positive	dies Vorfreude vor die Date %PosSmiley
negative	"... sein zumindest bezahlen , aber hochöchst unbefriedigend ..."
negative	... sein selber schlecht .. sein doof ... %PosSmiley
neutral	HR : + + + Flum freuen sich über Konkurrenz + + + Eintracht Frankfurt Johannes Flum hadern nach die knapp ...
neutral	Papenburger Firma entwickeln umweltfreundlich Technologie
neutral	"ich werden permanent in die Wanne liegen , eine ."
neutral	"was werden ihr eine angehend Studentin mit Budget bis max 650 Euro empfehlen ? Ultrabook , Netbook oder Notebook ?"
neutral	Pol - da : aufmerksam Nachbar löschen Küchenbrand
neutral	"opblitzkrieg kalt Ehe , warm Affäre , Herz sprechen plötzlich"
neutral	Advocaat trainieren AZ Alkmaar : Dick Advocaat werden neu Trainer die niederländisch Erstligisten AZ Alkmaar . ...
positive	"so , gut Nacht , Tatorties - hoffen ihr finden wir auch Blau statt Rot weiterhin in euer Timeline . %PosSmiley"
neutral	gefährlich Weltraumschrott können künftig mit eine leistungsstark Laser von die Erde aus u ... %Link imwesten WAZ
negative	echt nicht ? oo
positive	: @card@ groß Gott Entschuldigung %PosSmiley ehem ab in Bett mit du du jung Ding !
neutral	 Freiheit statt Angst  : Demos gegen Ausspähung
neutral	"obwohl weiterhin wenige Velo fahren werden ( Beliebtheit sinken ) , werden Unsumme reigepumpt . darum also Vignette !"
positive	"pur Gänsehaut , dick dick Respekt ! danke !"
positive	"wenn ich die Name Shepherd hören , müssen ich einfach sofort an McDreamy denken . :'D GA"
negative	"keine neu T - Shirt eintreffen ! und , Freund , was sollen ich jetzt heute anziehen ?"
positive	folback piken %PosSmiley
neutral	nichts als die Wahrheit instamood instagood instaGD igers tbt like follow me cute ...
neutral	%Link infos neu Zusammensetzung : spektakulär Änderung bei Dow Jones : drei Börse - Schwergewicht müssen ...
neutral	bezahlt Artikel ★ Pay per Post ★ Geld verdienen mit die Blog - Geld verdienen in Internet
positive	also wenn ich 10 kg weniger wiegen werden sein schon sehr nice .
negative	so sein es . ich forschen da aber morgen früh nochmal nach ... und wenn sie ' s nicht backen kriegen sein es echt schade .
neutral	Daumen drücken wofür ? dass sie die Wohnung bekommen oder nicht bekommen ?
neutral	"Pirat , Grüne , die Partei , dann schon Tierschutz . weit abgeschlagen letzt : CDU / CSU . davor punktgleich : FDP , SPD. yey"
neutral	"interessant. wegen drachen Überall ! schon * that machen ich nein : E · k , counting trinken HTL - Gebäude sein"
negative	was sagen wir zu Merkel heute abend ? PENIS HACH oder Mett ? denken Einhorn passen bei ihr auf keine Fall !
negative	"na toll , ich müssen die Taxi Fahrer die Weg erklären ... Frankfurt"
positive	"die Paradies verdienen , wer sein Freund zu Lache|Lachen bringen . aus die Koran"
negative	"Google Glasses , Okay ! aber eine Uhr zu Telefonieren mit 2 Tag Akkulaufzeit ? schlecht Witz ."
neutral	übertrieben Harmonie zwischen Faymann und Glawischnig echt widerlich. orfwahl13
neutral	... ja nee ... is klar . eine müssen sich opfern . . %PosSmiley
positive	Wu da sein jemand schnell mit die Bild X3
negative	"fast schade , dass heute Fußball sein , sonst werden ich gleich eine himym Marathon starten ..."
positive	geil sein wenn ihr garrys Mod spielen werden also horror mas oder freebuild ( @YouTube
positive	gut Nacht ... die Letzte machen ' s Licht aus ... gellen ? %PosSmiley ♥
positive	Schmetterling lachen ... : aus Fehler lernen
neutral	" wenn mer Glück ham , nibbelt se ab .  tatort"
negative	weh ...
positive	"dafür geben ' s eine groß spanisch "" beso "" , versprechen ."
positive	Altmaier sein schon hier . aber auch schnell wieder weg ... Termin %PosSmiley
neutral	Protest in die Türkei : Polizei gehen gewaltsam gegen Demonstrant vor
neutral	fllw backen ?
positive	endlich Heim %PosSmiley
negative	Yo My Phone Need To die Already %NegSmiley 😡
neutral	%Link via %User dafür nehmen er es mit die Datenschutz sein Firma nicht so genau .
neutral	neu EU - Regel : Sparer müssen um Guthaben unter @card@ Euro bange %Link I wish this was in English
neutral	"mögen ihr wir gerne helfen , die Weltherrschaft an wir zu reißen ? MUAHAHA . dann treten die offiziell ..."
neutral	Seitensprung Weib suchen Abenteuer ohne Anspruch unauffällig und attraktiv
negative	DE Guy LOOKS LIKE A DANGER to SOCIETY ! er können ya in Sumpf so n schön LOVESHACK bauen - - / / not fer me !
neutral	Halluuuu . .. na was machen ihr ? ich schauen Fringe
neutral	News : Beat es Audio wollen Partnerschaft mit HTC beenden
neutral	Dackel Anzeige|Anzeigen Kaninchenlanghaardackel suchen ... in Detern : wir suchen liebevoll Zweibeiner f ... %Link Hund : Dackel
positive	haben bei mein Facebook Freund noch keine machen %PosSmiley
positive	"gut Nacht Angelika , schlafen gut und träumen was Schöne ! ♡"
neutral	na herrlich . 5 Folge Shopping Queen gleich . ich kennen alle . also müssen was andere her .
negative	" ich sein mehr so eine schön , gelb Banane .  was oO"
